city,lat,lon,name,rating,url,description
St-Malo,48.647932,-2.028651,Les Chiens du Guet,7.4,https://www.booking.com/hotel/fr/les-chiens-du-guet.en-gb.html,"Les Chiens du Guet is located in the heart of Saint Malo, just 50 metres from the beach and 550 metres from Saint-Malo Marina<br>You can relax on the terrace with a drink from the bar and dine at the on-site restaurant<br>Free Wi-Fi access is available.<br><br>The simply decorated rooms feature carpet flooring, a desk and a private bathroom with shower<br>A hairdryer is also available at reception upon request.<br><br>Breakfast is available each morning, with an additional cost<br>The hotel’s restaurant serves à la carte dining prepared with local produce.<br><br>Dinard is 11 km from the hotel<br>Cancale is 17 km away."
St-Malo,48.65609235,-2.0023968,Hotel De La Mer,8.0,https://www.booking.com/hotel/fr/la-cote-d-39-emeraude.en-gb.html,"Located just 150 metres from the beach in Saint-Malo, Hotel De La Mer offers free WiFi access throughout and an on-site bar<br>The train station is only a 10-minute walk away.<br><br>All rooms feature a flat-screen TV, wardrobe and heating<br>Each room has a private bathroom that includes a bath and free toiletries.<br><br>In July and August, a continental breakfast is available each morning at Hotel De La Mer<br>From September to June, it is served from Tuesday to Saturday<br>Restaurants can be reached within walking distance of the hotel.<br><br>Saint-Malo Port is 2 km away and Espace Duguay Trouin Convention Centre is 1.1 km from the property<br>Naye Ferry Terminal is 2.4 km away."
St-Malo,48.649611,-2.02430338,Hôtel Bristol Union Intra Muros,8.9,https://www.booking.com/hotel/fr/bristol-union.en-gb.html,"Hotel Bristol Union is located in the heart of Saint Malo, within the city walls of the old town and 180 metres from Saint-Malo Marina<br>Its rooms and suites are en suite with satellite TV and free Wi-Fi internet access.<br><br>A daily breakfast service is available<br>It is served in the dining area or in the comfort of your guest room<br>The bar offers a nice place to enjoy a quiet drink or evening aperitif.<br><br>The Bristol Union benefits from a convenient location for those wishing to explore and discover Saint-Malo and the picturesque region of Brittany<br>Mont Saint Michel is just a 45-minute drive from the hotel."
St-Malo,48.65649842,-2.00342774,Alba hotel,8.7,https://www.booking.com/hotel/fr/alba-saint-malo.en-gb.html,"Alba hotel is located in Saint-Malo facing the beach and beside the port<br> It offers a bar and rooms with sea views.<br><br>Bar open daily from 11:15 a.m<br>to 7:00 p.m.<br><br>Each room has simple décor and is equipped with free Wi-Fi, cable TV and a private bathroom with a hairdryer.<br><br>A buffet breakfast is served daily in the breakfast room and guests’ are invited to have a drink at the hotel’s bar or on the terrace while enjoying the sea views.<br><br>A 24-hour front desk service is available at the Alba hotel.<br><br>Gare de Saint-Malo Train station is a 15-minute walk away<br>Places that guests can visit in the area include Chateaubriand’s tomb on ÎIe de Grand Bé, St Vincent Cathedral and the city’s Castle.<br><br>Parking charged at 9 €<br>Number of places available 4 on request"
St-Malo,48.64735692,-2.02519655,Hotel Ajoncs d'Or,8.4,https://www.booking.com/hotel/fr/ajoncsdor.en-gb.html,"Hotel Ajoncs d'Or is located in the heart of the historic fortified city walls of Saint Malo, 350 metres from Saint-Malo Marina<br>It offers individually decorated rooms, which feature original artwork and free Wi-Fi access.<br><br>Each soundproofed room has a private bathroom and satellite TV<br>Rooms are accessible by a lift.<br><br>A buffet breakfast is served daily in the spacious bright dining room<br>Guests can enjoy a drink at the Ajoncs d'Or hotel bar.<br><br>The hotel is conveniently placed to make the most of St Malo's many famous restaurants<br>In the summer, Saint Malo is a lively seaside resort featuring numerous outdoor and beach activities<br>Gare de Saint-Malo Train station is 1.8 km away<br>Private parking is available for an additional fee and must be reserved in advance."
St-Malo,48.66167888,-1.99165016,Hôtel Ar Iniz,8.5,https://www.booking.com/hotel/fr/ar-iniz.en-gb.html,"Providing a direct access to the Sillon Beach, Hôtel Ar Iniz offers a regional restaurant, a bar and a terrace with a view of the sea<br>The modern-style hotel is situated 1.5 km from the city centre.<br><br>The elegant rooms at Hôtel Ar Iniz have a flat-screen TV, a telephone and a safety deposit box<br>The bathroom includes a hairdryer and free toiletries.<br><br>A buffet breakfast is available daily and the restaurant on site serves dishes made with fresh and local products<br>Additional facilities are available such as free WiFi access and bicycle rental.<br><br>The property is located 12 km from Cancale and its beaches and a 45-minute drive from the city of Rennes<br>The train station is 3 km away and there is a private car park on site, available at an additional cost"
St-Malo,48.65902139,-1.99601144,Les Charmettes,8.8,https://www.booking.com/hotel/fr/les-charmettes.en-gb.html,"Les Charmettes, on the seafront in the Brittany town of Saint-Malo, offers direct beach access and a guests can sample a drink at the beach bar<br>Each guest room has a private bathroom, flat-screen TV and free Wi-Fi.<br><br>All seaside room feature a balcony, while other rooms look onto the courtyard<br>All rooms come with a nautical theme.<br><br>The hotel Les Charmettes serves a continental breakfast, which can be enjoyed in the dining room or in the comfort of your room<br>The on-site restaurant serves traditional meals including seafood platters<br>Guests can also relax on the hotel terrace, overlooking the sea.<br><br>The Sillon beach is situated directly in front of the hotel and the Saint Malo Train Station is 2 km away<br>Guests can reach Saint-Malo city centre within 30 minutes by walk."
St-Malo,48.61671487,-1.98199421,"Hôtel Oré, Saint-Malo",9.0,https://www.booking.com/hotel/fr/belem.en-gb.html,"Hôtel Oré, Saint-Malo (Inter-Hotel) is located at the entrance to Saint-Malo, near the aquarium<br>The hotel offers family rooms with baths or showers, flat-screen TVs and free WiFi access.<br><br>A buffet breakfast is served daily and guests are invited to relax with a drink in Hôtel Oré's bar<br>There is also a terrace and a floral garden.<br><br>Free private parking is available on site and Hôtel Oré is easily accessible by the N137<br>Cancale, Mont Saint Michel, Dinard and Dinan are nearby."
St-Malo,48.65007744,-2.02685326,Logis Maison Vauban - Hotel St Malo,8.4,https://www.booking.com/hotel/fr/palais.en-gb.html,"Hotel Maison Vauban is located next to the Saint-Vincent Cathedral in Saint-Malo<br>Just 200 metres from the beach and 450 metres from Saint-Malo Marina, it offers comfortable accommodation with free Wi-Fi.<br><br>Guest rooms at the Palais are brightly decorated and equipped with a telephone, a flat-screen TV and a private bathroom.<br><br>A buffet-style breakfast is served every morning<br>It can be enjoyed in the hotel's breakfast area or in the comfort of guest rooms."
St-Malo,48.64785311,-2.0283857,Hôtel La Porte Saint Pierre-Logis Hôtel Intra Muros,8.6,https://www.booking.com/hotel/fr/sarl-porte-saint-pierre.en-gb.html,"Situated inside the historic walls of Saint-Malo’s old town, this hotel is just 10 metres from the beach.<br><br>The guest rooms at La Porte Saint Pierre are decorated in a contemporary style and have a flat-screen TV and an electric kettle<br>Optical fiber access and a private bathroom, and some also have panoramic sea views.<br><br>In the mornings, guests can enjoy a buffet breakfast.<br><br>A meeting room for up to 20 people is available on site.<br><br>Saint-Malo Train Station is 2 km from La Porte Saint Pierre<br>Numerous ferry connections to the Channel Islands and the UK are possible from Saint-Malo port, 1.5 km away."
